Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
18/09/2020 16:56:29,783;38,595469;-15,232721;33,03974;32,302699;47,460431;27,293491;49,981481;28,994105
18/09/2020 16:56:30,784;38,593926;-15,228925;33,123356;32,406783;47,460431;27,139174;49,672828;29,045552
18/09/2020 16:56:31,783;38,595006;-15,215868;33,285667;32,59679;47,254658;27,242052;49,672828;29,045552
18/09/2020 16:56:32,782;38,593464;-15,213591;33,364054;32,682866;47,306101;27,242052;49,209847;29,045552
18/09/2020 16:56:33,783;38,593309;-15,209188;33,435512;32,759552;47,203215;27,293491;49,364174;29,096998
18/09/2020 16:56:34,784;38,592847;-15,204633;33,504045;32,828385;47,306101;27,293491;48,849751;29,148444
18/09/2020 16:56:35,783;38,592075;-15,201142;33,620478;32,947115;47,254658;27,190613;48,541097;29,19989
18/09/2020 16:56:36,783;38,592384;-15,196739;33,670532;32,993776;47,048885;27,293491;48,592539;29,148444
18/09/2020 16:56:37,783;38,59007;-15,19522;33,714736;33,03628;47,254658;27,242052;48,026674;29,19989
18/09/2020 16:56:38,783;38,589762;-15,187933;33,752932;33,070469;47,254658;27,242052;47,71802;29,19989
18/09/2020 16:56:39,784;38,588528;-15,182771;33,816389;33,122214;47,254658;27,242052;47,666578;29,19989
18/09/2020 16:56:40,783;38,588065;-15,180038;33,844268;33,141157;47,254658;27,293491;47,100712;29,251336
18/09/2020 16:56:41,784;38,588374;-15,176091;33,863829;33,155787;47,306101;27,293491;47,100712;29,302782
18/09/2020 16:56:42,783;38,587911;-15,17184;33,88262;33,16703;47,306101;27,190613;46,483404;29,302782
18/09/2020 16:56:43,783;38,587757;-15,170473;33,898793;33,177656;47,357544;27,242052;46,020424;30,228812
18/09/2020 16:56:44,784;38,586831;-15,167589;33,926672;33,189669;47,254658;27,190613;45,968981;29,45712
18/09/2020 16:56:45,784;38,587911;-15,162426;33,93884;33,193827;47,357544;27,34493;45,506001;29,508566
18/09/2020 16:56:46,783;38,586831;-15,160605;33,947774;33,195059;47,151771;27,139174;45,557443;29,45712
18/09/2020 16:56:47,783;38,587294;-15,154987;33,957324;33,195521;47,203215;27,293491;45,145904;29,405674
18/09/2020 16:56:48,783;38,587757;-15,146485;33,972418;33,193981;47,254658;27,190613;44,682924;29,508566
18/09/2020 16:56:49,784;38,58606;-15,143904;33,979504;33,190285;47,254658;27,293491;44,734366;29,508566
18/09/2020 16:56:50,784;38,587448;-15,141171;33,985511;33,187513;47,203215;27,242052;44,425712;29,508566
18/09/2020 16:56:51,783;38,587294;-15,137375;33,991056;33,181968;47,151771;27,190613;44,425712;29,560013
18/09/2020 16:56:52,784;38,586523;-15,134642;33,99922;33,173498;47,306101;27,293491;44,1685;29,662905
18/09/2020 16:56:53,782;38,587757;-15,132669;34,003995;33,165952;47,306101;27,190613;43,859847;29,662905
18/09/2020 16:56:54,783;38,587448;-15,128418;34,009386;33,158867;47,151771;27,293491;43,859847;29,662905
18/09/2020 16:56:55,783;38,587757;-15,098659;34,013545;33,154247;47,048885;27,190613;43,551193;29,611459
18/09/2020 16:56:56,784;38,587757;-15,210403;34,018782;33,144391;47,100328;27,242052;43,345423;29,765797
18/09/2020 16:56:57,783;38,585906;-15,182315;34,027562;33,142697;47,100328;27,242052;43,396866;29,765797
18/09/2020 16:56:58,784;38,586368;-15,161516;34,039114;33,146239;47,048885;27,242052;43,139654;29,765797
18/09/2020 16:56:59,782;38,586523;-15,151191;34,051899;33,153323;47,151771;27,293491;43,139654;29,765797
18/09/2020 16:57:00,783;38,588219;-15,141626;34,068227;33,161177;47,151771;27,242052;43,03677;29,817243
18/09/2020 16:57:01,783;38,587294;-15,127355;34,105503;33,1832;47,100328;27,242052;43,03677;29,817243
18/09/2020 16:57:02,783;38,589145;-15,1228;34,12522;33,193981;47,306101;27,242052;42,933885;29,868689
18/09/2020 16:57:03,783;38,590379;-15,117486;34,144629;33,205224;47,306101;27,242052;42,831;30,38315
18/09/2020 16:57:04,784;38,59115;-15,113539;34,164962;33,214772;47,357544;27,190613;42,779558;29,920135
18/09/2020 16:57:05,783;38,594081;-15,096686;34,20224;33,231097;47,306101;27,242052;42,676673;29,868689
18/09/2020 16:57:06,783;38,593309;-15,094864;34,221957;33,237258;47,254658;27,293491;42,419462;29,920135
18/09/2020 16:57:07,783;38,595315;-15,088639;34,240134;33,245574;47,306101;27,293491;42,265135;29,868689
18/09/2020 16:57:08,783;38,594852;-15,084236;34,257849;33,249271;47,254658;27,293491;42,36802;29,868689
18/09/2020 16:57:09,784;38,59732;-15,074974;34,297284;33,255893;47,254658;27,602125;42,265135;29,920135
18/09/2020 16:57:10,783;38,597628;-15,074519;34,309916;33,261437;47,254658;27,447808;42,007923;29,920135
18/09/2020 16:57:11,783;38,597628;-15,052807;34,329018;33,265134;47,254658;27,242052;41,956481;30,023027
18/09/2020 16:57:12,783;38,599016;-15,038383;34,352433;33,269754;47,254658;27,293491;41,956481;30,074474
18/09/2020 16:57:13,783;38,599633;-15,022897;34,375694;33,278379;47,203215;27,242052;41,956481;30,074474
18/09/2020 16:57:14,783;38,600559;-15,017886;34,387248;33,277763;47,254658;27,34493;41,853596;30,074474
18/09/2020 16:57:15,783;38,600559;-15,01075;34,394796;33,273142;47,100328;27,293491;41,956481;30,074474
18/09/2020 16:57:16,782;38,601484;-15,004981;34,400958;33,266366;47,100328;27,34493;41,853596;30,12592
18/09/2020 16:57:17,783;38,600405;-15,002703;34,405734;33,259743;47,100328;27,242052;41,853596;30,177366
18/09/2020 16:57:18,783;38,601022;-14,998452;34,41128;33,235872;47,048885;27,190613;41,596385;30,12592
18/09/2020 16:57:19,783;38,600713;-14,996022;34,415285;33,222627;47,100328;27,242052;41,442058;30,12592
18/09/2020 16:57:20,783;38,601639;-14,992834;34,413591;33,212616;46,894555;27,242052;41,596385;30,074474
18/09/2020 16:57:21,783;38,600559;-14,990101;34,413437;33,199217;47,100328;27,293491;41,236289;30,228812
18/09/2020 16:57:22,783;38,599633;-14,987824;34,416672;33,175962;47,151771;27,242052;41,236289;30,228812
18/09/2020 16:57:23,783;38,600405;-14,982206;34,41852;33,166722;47,357544;27,190613;41,287731;31,30918
18/09/2020 16:57:24,783;38,600405;-14,981447;34,41929;33,153015;47,254658;27,242052;41,544943;30,280258
18/09/2020 16:57:25,783;38,599325;-14,980536;34,418674;33,142235;47,357544;27,242052;41,4935;30,228812
18/09/2020 16:57:26,783;38,599171;-14,976436;34,413745;33,117286;47,61476;27,139174;41,956481;30,38315
18/09/2020 16:57:27,783;38,599171;-14,976132;34,408045;33,105119;47,511874;27,190613;41,853596;30,331704
18/09/2020 16:57:28,783;38,598708;-14,974007;34,400804;33,091105;47,76909;27,190613;42,16225;30,331704
18/09/2020 16:57:29,783;38,598554;-14,972033;34,393718;33,079863;47,666204;27,293491;42,779558;30,177366
18/09/2020 16:57:30,783;38,598708;-14,971729;34,385553;33,064771;47,820533;27,293491;42,779558;30,331704
18/09/2020 16:57:31,783;38,597011;-14,966263;34,36907;33,037666;47,974863;27,190613;43,396866;30,38315
18/09/2020 16:57:32,783;38,597165;-14,964593;34,363216;33,026578;48,026306;27,293491;43,756962;30,434596
18/09/2020 16:57:33,783;38,596548;-14,96353;34,35613;33,012256;48,180636;27,293491;44,219943;30,38315
18/09/2020 16:57:34,783;38,597474;-14,960949;34,347812;33,000552;48,129193;27,242052;44,940135;30,588935
18/09/2020 16:57:35,783;38,596703;-14,957001;34,334101;32,972216;48,129193;26,727662;44,991577;30,486042
18/09/2020 16:57:36,784;38,596394;-14,953965;34,325013;32,955431;48,129193;27,242052;45,557443;30,588935
18/09/2020 16:57:37,784;38,59624;-14,953054;34,314229;32,938029;48,180636;27,293491;45,866097;30,640381
18/09/2020 16:57:38,783;38,596703;-14,951991;34,300365;32,919087;47,974863;27,242052;45,968981;30,640381
18/09/2020 16:57:39,784;38,596857;-14,950017;34,263395;32,870733;47,820533;27,242052;46,277635;30,588935
18/09/2020 16:57:40,784;38,597011;-14,946828;34,240134;32,844862;47,717647;27,293491;46,226193;30,588935
18/09/2020 16:57:41,783;38,597474;-14,952902;34,213639;32,81776;47,76909;27,396369;46,226193;30,640381
18/09/2020 16:57:42,784;38,598399;-14,949713;34,184833;32,78804;47,820533;27,190613;46,329077;30,794719
18/09/2020 16:57:43,783;38,597937;-14,944703;34,122601;32,727676;47,717647;27,242052;46,38052;30,691827
18/09/2020 16:57:44,783;38,597937;-14,944247;34,089176;32,696263;47,717647;27,293491;46,329077;30,743273
18/09/2020 16:57:45,784;38,596857;-14,94364;34,05575;32,664542;47,717647;27,293491;46,329077;30,794719
18/09/2020 16:57:46,783;38,597937;-14,940907;34,023865;32,633591;47,717647;27,190613;46,38052;30,846165
18/09/2020 16:57:47,783;38,599016;-14,9403;33,98967;32,599561;47,666204;27,293491;46,431962;30,846165
18/09/2020 16:57:48,783;38,598091;-14,936504;33,92621;32,538432;47,717647;27,242052;46,483404;30,846165
18/09/2020 16:57:49,783;38,597628;-14,936959;33,89602;32,507328;47,666204;27,190613;46,792058;30,743273
18/09/2020 16:57:50,784;38,597782;-14,936656;33,86845;32,478997;47,666204;27,293491;46,894943;30,794719
18/09/2020 16:57:51,783;38,597474;-14,934074;33,841495;32,449741;47,717647;27,293491;47,409366;30,846165
18/09/2020 16:57:52,783;38,597011;-14,935289;33,786971;32,394311;47,717647;27,242052;47,975231;30,949057
18/09/2020 16:57:53,783;38,596394;-14,933012;33,760479;32,368752;47,666204;27,242052;47,975231;30,949057
18/09/2020 16:57:54,783;38,595006;-14,933012;33,731678;32,341653;47,666204;27,293491;48,541097;30,897611
18/09/2020 16:57:55,782;38,595315;-14,933467;33,708113;32,317942;47,666204;27,242052;48,952635;30,846165
18/09/2020 16:57:56,784;38,595006;-14,93453;33,656209;32,260666;47,871976;27,190613;49,004078;30,897611
18/09/2020 16:57:57,783;38,594543;-14,932252;33,630642;32,233415;47,666204;27,293491;49,158405;30,846165
18/09/2020 16:57:58,783;38,595932;-14,930278;33,605076;32,207241;47,666204;27,139174;49,106962;30,846165
18/09/2020 16:57:59,783;38,594389;-14,930127;33,575814;32,174909;47,717647;27,242052;48,952635;30,949057
18/09/2020 16:58:00,783;38,595469;-14,927394;33,522064;32,117943;47,666204;27,139174;48,746866;31,000503
18/09/2020 16:58:01,783;38,594852;-14,924964;33,495882;32,090539;47,717647;27,293491;48,746866;30,949057
