Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15:37:42;20,43;40,78152;23,240728;38,063037;37,087881;34,085193;28,990979;61,813213;33,830039;
15:37:43;20,45;40,782601;23,241495;38,071982;37,100833;34,085193;29,042418;61,916097;33,881485;
15:37:44;20,47;40,784607;23,244874;38,077996;37,108697;34,18808;29,042418;61,76177;33,778593;
15:37:45;20,48;40,785996;23,244874;38,08509;37,118102;34,18808;28,93954;61,864655;33,932931;
15:37:46;20,50;40,78754;23,246563;38,091105;37,123961;34,085193;28,93954;61,76177;33,881485;
15:37:47;20,52;40,791553;23,249941;38,103288;37,137376;34,18808;29,042418;61,76177;33,727147;
15:37:48;20,53;40,790318;23,250095;38,108995;37,143543;34,18808;29,042418;61,864655;33,881485;
15:37:49;20,55;40,792633;23,252398;38,116243;37,150944;34,18808;28,990979;61,813213;33,727147;
15:37:50;20,57;40,794485;23,254855;38,121795;37,158808;34,239523;29,042418;61,813213;33,778593;
15:37:51;20,58;40,797418;23,258233;38,135058;37,174998;34,239523;29,042418;61,710328;33,830039;
15:37:52;20,60;40,796955;23,259615;38,142923;37,185021;34,239523;29,145296;61,658886;33,881485;
15:37:53;20,62;40,798498;23,260844;38,150326;37,193655;34,136637;28,990979;61,710328;33,984377;
15:37:54;20,63;40,799733;23,261458;38,158346;37,201982;34,136637;28,93954;61,607444;33,830039;
15:37:55;20,65;40,800659;23,263608;38,169604;37,21185;34,18808;29,042418;61,76177;33,881485;
15:37:56;20,67;40,802048;23,266065;38,182713;37,22912;34,290966;29,093857;61,658886;33,881485;
15:37:57;20,68;40,804055;23,266833;38,192429;37,241455;34,18808;28,990979;61,556001;33,727147;
15:37:58;20,70;40,806524;23,267908;38,199832;37,250861;34,290966;29,042418;61,556001;33,932931;
15:37:59;20,72;40,806216;23,268829;38,208931;37,261655;34,18808;29,042418;61,504559;33,830039;
15:38:00;20,73;40,808994;23,272207;38,226667;37,283397;34,18808;28,990979;61,556001;33,932931;
15:38:01;20,75;40,809302;23,273129;38,234995;37,295887;34,18808;29,042418;61,556001;33,830039;
15:38:02;20,77;40,809611;23,274818;38,244249;37,305138;34,136637;29,042418;61,504559;33,830039;
15:38:03;20,78;40,811155;23,276046;38,252115;37,317937;34,18808;29,042418;61,504559;33,932931;
15:38:04;20,80;40,812698;23,277582;38,271085;37,339987;34,239523;28,990979;61,504559;33,932931;
15:38:05;20,82;40,815168;23,278196;38,280955;37,349702;34,18808;28,990979;61,401674;33,932931;
15:38:06;20,83;40,815013;23,278196;38,289129;37,359416;34,18808;28,990979;61,401674;33,881485;
15:38:07;20,85;40,815322;23,27835;38,298846;37,369285;34,136637;28,990979;61,29879;33,881485;
15:38:08;20,87;40,81455;23,278196;38,317045;37,389948;34,239523;28,93954;61,453117;33,932931;
15:38:09;20,88;40,814859;23,278196;38,325836;37,401205;34,18808;28,990979;61,29879;33,881485;
15:38:10;20,90;40,814242;23,278503;38,333085;37,408298;34,18808;29,093857;61,29879;33,932931;
15:38:11;20,92;40,816557;23,278503;38,342339;37,416317;34,239523;29,042418;61,247347;33,932931;
15:38:12;20,93;40,816094;23,277429;38,351747;37,423256;34,18808;28,990979;61,144463;33,830039;
15:38:13;20,95;40,817329;23,280193;38,369021;37,446078;34,136637;28,990979;61,195905;33,932931;
15:38:14;20,97;40,817174;23,280807;38,378121;37,455793;34,18808;29,042418;61,195905;33,932931;
15:38:15;20,98;40,818563;23,280346;38,386912;37,46412;34,239523;29,093857;61,09302;33,984377;
15:38:16;21,00;40,820261;23,283264;38,395395;37,473989;34,239523;29,145296;61,041578;33,984377;
15:38:17;21,02;40,820879;23,286642;38,410973;37,492956;34,136637;29,042418;60,887251;34,035823;
15:38:18;21,03;40,822885;23,286949;38,418993;37,501438;34,136637;29,042418;61,144463;33,984377;
15:38:19;21,05;40,824274;23,288639;38,428864;37,514391;34,18808;29,093857;61,09302;33,932931;
15:38:20;21,07;40,823657;23,288946;38,436421;37,525186;34,18808;29,042418;61,09302;34,035823;
15:38:21;21,08;40,827207;23,290788;38,456164;37,545541;34,18808;29,042418;61,041578;33,984377;
15:38:22;21,10;40,829213;23,293092;38,465264;37,553714;34,290966;28,990979;61,09302;33,984377;
15:38:23;21,12;40,829522;23,293399;38,473284;37,565588;34,18808;29,042418;61,09302;33,984377;
15:38:24;21,13;40,830602;23,29432;38,482692;37,576383;34,18808;29,093857;61,144463;34,035823;
15:38:25;21,15;40,833689;23,300616;38,502127;37,597047;34,03375;29,093857;61,09302;33,984377;
15:38:26;21,17;40,836931;23,303381;38,509684;37,607225;33,982307;29,093857;61,195905;33,984377;
15:38:27;21,18;40,838628;23,305223;38,520481;37,618945;34,136637;29,042418;61,09302;34,3445;
15:38:28;21,20;40,840326;23,30722;38,529735;37,629432;34,085193;29,145296;61,144463;34,035823;
15:38:29;21,22;40,842642;23,309216;38,538527;37,643465;34,085193;29,145296;61,041578;34,035823;
15:38:30;21,23;40,845574;23,31198;38,559195;37,662896;34,03375;29,042418;61,144463;34,035823;
15:38:31;21,25;40,847426;23,313362;38,566599;37,675233;33,982307;29,042418;60,938694;34,035823;
15:38:32;21,27;40,848198;23,315666;38,576162;37,685103;34,03375;29,042418;60,990136;33,932931;
15:38:33;21,28;40,846655;23,315973;38,584028;37,695127;33,879421;29,042418;61,09302;34,138715;
15:38:34;21,30;40,850359;23,317969;38,602846;37,715175;33,827977;29,093857;60,887251;34,035823;
15:38:35;21,32;40,849433;23,318583;38,610404;37,726741;34,085193;29,093857;61,09302;34,138715;
15:38:36;21,33;40,850668;23,319351;38,621355;37,735377;33,879421;29,093857;60,887251;34,087269;
15:38:37;21,35;40,849742;23,319812;38,63169;37,74864;33,879421;29,042418;60,887251;34,087269;
15:38:38;21,37;40,851594;23,319351;38,654364;37,767763;34,03375;29,042418;60,990136;34,138715;
15:38:39;21,38;40,851439;23,319198;38,66331;37,781489;34,03375;28,990979;60,887251;34,087269;
15:38:40;21,40;40,852829;23,319965;38,670868;37,790896;33,879421;29,093857;60,835809;34,087269;
15:38:41;21,42;40,851285;23,319965;38,682899;37,803696;33,879421;29,093857;60,887251;34,138715;
15:38:42;21,43;40,851439;23,31843;38,704494;37,826521;33,879421;29,042418;60,732924;34,035823;
15:38:43;21,45;40,85252;23,317508;38,712669;37,838088;33,982307;29,145296;60,835809;34,138715;
15:38:44;21,47;40,852057;23,31889;38,721616;37,849192;33,930864;29,093857;60,784367;34,087269;
15:38:45;21,48;40,85252;23,317662;38,731642;37,863843;33,879421;28,990979;60,835809;34,241608;
15:38:46;21,50;40,851285;23,317969;38,742594;37,876335;33,879421;29,042418;60,681482;34,241608;
15:38:47;21,52;40,851902;23,315512;38,762646;37,899469;33,930864;29,042418;60,63004;34,087269;
15:38:48;21,53;40,851439;23,317201;38,774215;37,913812;33,879421;29,093857;60,784367;34,241608;
15:38:49;21,55;40,851594;23,315973;38,785321;37,926304;33,776534;29,042418;60,63004;34,138715;
15:38:50;21,57;40,851439;23,31628;38,796427;37,937871;34,290966;29,093857;60,578597;34,138715;
15:38:51;21,58;40,850822;23,315666;38,815863;37,957458;34,03375;29,145296;60,527155;34,138715;
15:38:52;21,60;40,849433;23,31628;38,827278;37,969333;34,085193;29,093857;60,578597;34,190162;
