Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
14:57:52;3,00;37,479079;17,903543;31,292899;31,492005;61,041441;26,31615;60,475713;28,994105
14:57:53;3,02;37,479695;17,903237;31,309213;31,49924;60,989998;26,213272;60,578597;29,045552
14:57:54;3,03;37,478924;17,903543;31,326297;31,505859;60,938554;26,367589;60,732924;28,994105
14:57:55;3,05;37,477999;17,903237;31,361081;31,52002;61,041441;26,264711;60,938694;29,045552
14:57:56;3,07;37,47877;17,902163;31,375394;31,526024;61,041441;26,264711;60,887251;29,045552
14:57:57;3,08;37,477537;17,901397;31,390939;31,532027;60,989998;26,31615;61,041578;29,096998
14:57:58;3,10;37,476303;17,900324;31,405715;31,53803;60,989998;26,31615;61,195905;29,148444
14:57:59;3,12;37,474453;17,898177;31,437267;31,549883;60,989998;26,31615;61,144463;29,045552
14:58:00;3,13;37,473528;17,896951;31,454352;31,554809;60,989998;26,31615;61,453117;29,096998
14:58:01;3,15;37,471832;17,897104;31,470821;31,558349;60,938554;26,213272;61,350232;28,994105
14:58:02;3,17;37,47029;17,894804;31,489444;31,564507;60,938554;26,264711;61,401674;29,148444
14:58:03;3,18;37,468285;17,892811;31,522844;31,574974;60,989998;26,367589;61,504559;29,096998
14:58:04;3,20;37,467206;17,890051;31,541469;31,580978;60,989998;26,31615;61,504559;29,148444
14:58:05;3,22;37,467052;17,889285;31,559785;31,585596;61,092884;26,367589;61,658886;29,148444
14:58:06;3,23;37,464276;17,888672;31,574715;31,592061;60,989998;26,31615;61,813213;29,096998
14:58:07;3,25;37,463197;17,884532;31,607039;31,604068;60,989998;26,31615;61,76177;29,19989
14:58:08;3,27;37,460884;17,881619;31,621353;31,607147;60,938554;26,31615;61,76177;29,148444
14:58:09;3,28;37,460421;17,879933;31,635052;31,610995;61,041441;26,367589;61,813213;29,251336
14:58:10;3,30;37,458725;17,879166;31,647058;31,614997;60,887111;26,367589;61,710328;29,302782
14:58:11;3,32;37,458263;17,876253;31,657679;31,619;60,989998;26,367589;61,864655;29,148444
14:58:12;3,33;37,457646;17,874413;31,675842;31,624541;61,144327;26,367589;61,813213;29,19989
14:58:13;3,35;37,456566;17,87518;31,682769;31,626389;61,19577;26,367589;61,76177;29,251336
14:58:14;3,37;37,454099;17,8738;31,689696;31,62762;61,144327;26,31615;61,916097;29,302782
14:58:15;3,38;37,453483;17,87334;31,696006;31,62762;61,144327;26,367589;61,813213;29,251336
14:58:16;3,40;37,453637;17,871194;31,705242;31,632546;60,989998;26,31615;61,813213;29,405674
14:58:17;3,42;37,452249;17,869661;31,710937;31,631776;61,041441;26,264711;61,813213;29,354228
14:58:18;3,43;37,449628;17,868894;31,716171;31,632238;61,092884;26,367589;61,607444;29,302782
14:58:19;3,45;37,450861;17,870121;31,720173;31,633162;61,092884;26,31615;61,658886;29,45712
14:58:20;3,47;37,448857;17,867514;31,726946;31,63701;61,144327;26,367589;61,556001;29,354228
14:58:21;3,48;37,447778;17,865981;31,730486;31,637472;61,144327;26,31615;61,658886;29,405674
14:58:22;3,50;37,44639;17,863835;31,731256;31,639319;61,144327;26,419028;61,556001;29,354228
14:58:23;3,52;37,44531;17,865368;31,732949;31,640705;61,092884;26,213272;61,76177;29,354228
14:58:24;3,53;37,446081;17,864141;31,73495;31,640705;61,144327;26,31615;61,76177;29,405674
14:58:25;3,55;37,442843;17,861228;31,74003;31,64209;60,938554;26,31615;61,76177;29,354228
14:58:26;3,57;37,442072;17,860002;31,739876;31,643629;60,938554;26,31615;61,710328;29,405674
14:58:27;3,58;37,441456;17,857549;31,740645;31,643014;60,989998;26,367589;61,710328;29,354228
14:58:28;3,60;37,43868;17,857702;31,740491;31,643937;61,041441;26,419028;61,710328;29,45712
