Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:49:47,620;39,434665;17,46892;30,711334;30,883112;68,552151;24,824418;56,206001;27,34783;
15/10/2020 14:49:48,621;39,435127;17,471372;30,7338;30,904813;68,603594;24,824418;56,514655;27,244938;
15/10/2020 14:49:49,621;39,436362;17,472752;30,759191;30,927898;68,552151;24,927296;56,617539;27,399276;
15/10/2020 14:49:50,621;39,438522;17,474285;30,783658;30,949599;68,552151;24,824418;56,668982;27,34783;
15/10/2020 14:49:51,620;39,442224;17,476585;30,83244;30,991307;68,552151;24,875857;56,926193;27,399276;
15/10/2020 14:49:52,621;39,443922;17,476585;30,855061;31,011931;68,603594;24,927296;56,977636;27,34783;
15/10/2020 14:49:53,622;39,442996;17,476585;30,878452;31,029015;68,655037;24,875857;57,131963;27,502169;
15/10/2020 14:49:54,620;39,444539;17,477504;30,897688;31,045637;68,603594;24,772979;57,492059;27,450722;
15/10/2020 14:49:55,622;39,44639;17,477658;30,91831;31,064106;68,603594;24,772979;57,492059;27,502169;
15/10/2020 14:49:56,620;39,446699;17,478884;30,95786;31,095196;68,603594;24,824418;57,594943;27,553615;
15/10/2020 14:49:57,621;39,447933;17,479037;30,980636;31,113358;68,500708;24,824418;57,74927;27,553615;
15/10/2020 14:49:58,620;39,447779;17,478731;31,000488;31,126748;68,603594;24,824418;57,800713;27,502169;
15/10/2020 14:49:59,621;39,44747;17,478731;31,021725;31,14214;68,603594;24,824418;58,109366;27,553615;
15/10/2020 14:50:00,620;39,449476;17,477811;31,061277;31,171691;68,706481;24,824418;58,057924;27,502169;
15/10/2020 14:50:01,620;39,451173;17,477198;31,078975;31,187699;68,706481;24,875857;58,263693;27,605061;
15/10/2020 14:50:02,620;39,447779;17,476738;31,097289;31,204014;68,603594;24,927296;58,315136;27,553615;
15/10/2020 14:50:03,620;39,450093;17,477351;31,117142;31,219252;68,706481;24,824418;58,469463;27,656507;
15/10/2020 14:50:04,621;39,448859;17,476585;31,153462;31,251728;68,706481;24,875857;58,469463;27,707953;
15/10/2020 14:50:05,620;39,448087;17,478271;31,17193;31,265581;68,706481;24,875857;58,469463;27,656507;
15/10/2020 14:50:06,621;39,448859;17,476278;31,19163;31,282512;68,809367;24,875857;58,62379;27,553615;
15/10/2020 14:50:07,620;39,448087;17,474132;31,207789;31,298828;68,757924;24,875857;58,881001;27,707953;
15/10/2020 14:50:08,621;39,448087;17,474592;31,242572;31,32992;68,706481;24,824418;58,778116;27,707953;
15/10/2020 14:50:09,620;39,451327;17,474132;31,257962;31,345774;68,757924;24,875857;58,983886;27,862291;
15/10/2020 14:50:10,620;39,447624;17,474132;31,275046;31,359628;68,706481;24,824418;58,932443;27,759399;
15/10/2020 14:50:11,621;39,450247;17,472905;31,289359;31,372557;68,655037;24,875857;59,189655;27,810845;
15/10/2020 14:50:12,620;39,451019;17,472752;31,308136;31,385487;68,706481;24,772979;59,241097;27,810845;
15/10/2020 14:50:13,622;39,451636;17,473365;31,340611;31,41304;68,552151;24,772979;59,241097;27,759399;
15/10/2020 14:50:14,622;39,452099;17,475052;31,355078;31,424584;68,552151;24,824418;59,343982;27,810845;
15/10/2020 14:50:15,620;39,45503;17,473365;31,369546;31,437052;68,655037;24,875857;59,446867;27,759399;
15/10/2020 14:50:16,620;39,452099;17,473519;31,385245;31,449674;68,706481;24,927296;59,498309;27,913737;
15/10/2020 14:50:17,620;39,456727;17,473212;31,412487;31,473533;68,757924;24,927296;59,601193;27,759399;
15/10/2020 14:50:18,620;39,455956;17,473519;31,426185;31,487387;68,655037;24,875857;59,601193;27,862291;
15/10/2020 14:50:19,620;39,454721;17,473059;31,440499;31,499855;68,706481;24,875857;59,806963;27,913737;
15/10/2020 14:50:20,620;39,455339;17,475358;31,454506;31,5114;68,552151;24,927296;59,96129;27,965183;
15/10/2020 14:50:21,621;39,454104;17,472905;31,481903;31,538954;68,603594;24,72154;59,96129;27,913737;
15/10/2020 14:50:22,622;39,455184;17,471219;31,495601;31,551576;68,552151;24,875857;60,167059;27,862291;
15/10/2020 14:50:23,621;39,453796;17,471372;31,510685;31,564045;68,603594;24,824418;60,167059;27,913737;
15/10/2020 14:50:24,621;39,452716;17,46984;31,525307;31,574974;68,603594;24,875857;60,321386;27,965183;
15/10/2020 14:50:25,620;39,451327;17,469533;31,551012;31,598834;68,603594;24,927296;60,321386;27,965183;
15/10/2020 14:50:26,620;39,451173;17,469533;31,562709;31,60961;68,449264;24,824418;60,527155;28,068076;
15/10/2020 14:50:27,620;39,451327;17,46938;31,574253;31,620231;68,294935;24,515784;60,475713;28,01663;
15/10/2020 14:50:28,621;39,450556;17,467847;31,586567;31,630391;68,346378;24,72154;60,578597;28,068076;
15/10/2020 14:50:29,622;39,450247;17,467693;31,595187;31,641167;68,397821;24,824418;60,681482;28,119522;
15/10/2020 14:50:30,620;39,448241;17,466007;31,617197;31,662102;68,243492;24,824418;60,887251;28,119522;
15/10/2020 14:50:31,620;39,44963;17,464168;31,625355;31,672108;68,243492;24,875857;60,835809;28,068076;
15/10/2020 14:50:32,620;39,449939;17,465547;31,636438;31,681344;68,243492;24,824418;60,990136;28,170968;
15/10/2020 14:50:33,620;39,448704;17,465087;31,645211;31,692428;68,294935;24,875857;60,938694;28,119522;
15/10/2020 14:50:34,621;39,44747;17,465701;31,663374;31,708746;68,243492;24,875857;60,990136;28,119522;
15/10/2020 14:50:35,621;39,447007;17,464627;31,675227;31,718906;68,243492;24,875857;61,09302;28,222414;
15/10/2020 14:50:36,622;39,447779;17,462941;31,683692;31,727526;68,346378;24,875857;61,144463;28,170968;
15/10/2020 14:50:37,621;39,446236;17,463861;31,694621;31,737532;68,294935;24,824418;61,09302;28,222414;
15/10/2020 14:50:38,622;39,445927;17,464014;31,716633;31,760778;68,294935;24,772979;61,09302;28,222414;
15/10/2020 14:50:39,620;39,445002;17,461102;31,724021;31,773093;68,089162;24,772979;61,247347;28,222414;
15/10/2020 14:50:40,620;39,442533;17,461868;31,733719;31,783869;68,192048;24,72154;61,453117;28,222414;
15/10/2020 14:50:41,620;39,443922;17,461562;31,743416;31,794799;68,192048;24,824418;61,453117;28,222414;
15/10/2020 14:50:42,620;39,44207;17,461255;31,763735;31,817583;68,192048;24,824418;61,453117;28,119522;
15/10/2020 14:50:43,621;39,441607;17,460029;31,775125;31,829899;68,140605;24,824418;61,710328;28,325306;
15/10/2020 14:50:44,620;39,442533;17,460182;31,784977;31,839751;68,089162;24,772979;61,710328;28,27386;
15/10/2020 14:50:45,622;39,440219;17,460182;31,795444;31,850989;68,089162;24,824418;61,916097;28,479644;
15/10/2020 14:50:46,621;39,442533;17,459722;31,804218;31,861612;67,986275;24,772979;61,813213;28,325306;
15/10/2020 14:50:47,620;39,442687;17,460029;31,821304;31,881317;67,986275;24,824418;62,070424;28,325306;
15/10/2020 14:50:48,620;39,442224;17,459262;31,830232;31,889322;67,934832;24,875857;62,121867;28,325306;
