Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/09/2020 14:46:20,320;37,904062;-24,417362;32,560257;29,840741;61,658759;25,596003;57,95504;27,862291;
18/09/2020 14:46:21,320;37,902057;-24,406006;32,597517;29,893975;61,658759;25,647442;58,006482;27,862291;
18/09/2020 14:46:22,320;37,902365;-24,408277;32,617225;29,922131;61,658759;25,647442;58,212251;27,965183;
18/09/2020 14:46:23,320;37,900978;-24,412971;32,634624;29,951518;61,452986;25,647442;58,212251;27,810845;
18/09/2020 14:46:24,320;37,899898;-24,412214;32,654178;29,980597;61,452986;25,647442;58,469463;27,965183;
18/09/2020 14:46:25,320;37,900052;-24,414637;32,690053;30,039834;61,3501;25,596003;58,41802;27,913737;
18/09/2020 14:46:26,320;37,899435;-24,414788;32,707298;30,066453;61,3501;25,647442;58,726674;27,965183;
18/09/2020 14:46:27,320;37,897276;-24,413425;32,722849;30,094148;61,3501;25,647442;58,778116;27,913737;
18/09/2020 14:46:28,320;37,897739;-24,413274;32,735629;30,118767;61,298657;25,596003;58,778116;27,913737;
18/09/2020 14:46:29,319;37,897893;-24,40434;32,761188;30,164928;61,247214;25,698881;58,983886;28,068076;
18/09/2020 14:46:30,320;37,897739;-24,404946;32,773814;30,185854;61,298657;25,647442;59,08677;27,965183;
18/09/2020 14:46:31,320;37,896814;-24,406915;32,782437;30,207704;61,247214;25,544564;59,138213;28,01663;
18/09/2020 14:46:32,320;37,898202;-24,406763;32,793061;30,22863;61,247214;25,647442;59,08677;27,965183;
18/09/2020 14:46:33,320;37,89851;-24,40646;32,810615;30,267406;61,19577;25,647442;59,035328;28,01663;
18/09/2020 14:46:34,320;37,898048;-24,400707;32,820007;30,285871;61,092884;25,596003;59,035328;28,068076;
18/09/2020 14:46:35,320;37,898973;-24,404946;32,826782;30,307106;61,144327;25,698881;59,29254;28,01663;
18/09/2020 14:46:36,320;37,898819;-24,406763;32,835251;30,32634;61,144327;25,698881;59,241097;28,119522;
18/09/2020 14:46:37,320;37,898819;-24,402372;32,843874;30,346806;61,247214;25,647442;59,189655;28,068076;
18/09/2020 14:46:38,320;37,898048;-24,402675;32,861889;30,388507;61,144327;25,698881;59,189655;28,119522;
18/09/2020 14:46:39,320;37,897893;-24,402675;32,86851;30,408204;61,298657;25,647442;59,189655;28,119522;
18/09/2020 14:46:40,320;37,900206;-24,393287;32,875594;30,432517;61,298657;25,75032;59,601193;28,222414;
18/09/2020 14:46:41,321;37,898973;-24,39995;32,884986;30,451291;61,247214;25,647442;59,446867;28,170968;
18/09/2020 14:46:42,320;37,899281;-24,402221;32,898229;30,493762;61,19577;25,698881;59,704078;28,222414;
18/09/2020 14:46:43,320;37,899281;-24,402069;32,905004;30,510844;61,144327;25,647442;59,75552;28,222414;
18/09/2020 14:46:44,320;37,899127;-24,401161;32,909931;30,529464;61,247214;25,647442;59,858405;28,170968;
18/09/2020 14:46:45,319;37,899898;-24,400707;32,919016;30,546853;61,298657;25,441686;60,115617;28,27386;
18/09/2020 14:46:46,321;37,902211;-24,403583;32,929795;30,580862;61,247214;25,544564;60,064174;28,170968;
18/09/2020 14:46:47,320;37,900669;-24,40434;32,933798;30,598405;61,3501;25,698881;60,269943;28,27386;
18/09/2020 14:46:48,320;37,898819;-24,405703;32,942268;30,615641;61,3501;25,647442;60,218501;28,222414;
18/09/2020 14:46:49,320;37,900823;-24,396921;32,946733;30,632723;61,3501;25,698881;60,372828;28,27386;
18/09/2020 14:46:50,320;37,901286;-24,402978;32,958898;30,664117;61,401543;25,698881;60,527155;29,19989;
18/09/2020 14:46:51,320;37,899435;-24,401918;32,965057;30,67966;61,401543;25,698881;60,372828;28,27386;
18/09/2020 14:46:52,320;37,900361;-24,39465;32,971678;30,695203;61,555873;25,647442;60,578597;28,376752;
18/09/2020 14:46:53,320;37,899744;-24,389805;32,978454;30,711054;61,50443;25,698881;60,578597;28,376752;
18/09/2020 14:46:54,319;37,900361;-24,396316;32,983997;30,72552;61,50443;25,647442;60,681482;28,376752;
18/09/2020 14:46:55,320;37,899435;-24,395559;32,998934;30,757838;61,658759;25,698881;60,887251;28,582537;
18/09/2020 14:46:56,320;37,900361;-24,395407;33,009405;30,775844;61,452986;25,596003;60,990136;28,376752;
18/09/2020 14:46:57,319;37,898973;-24,395407;33,016796;30,792003;61,452986;25,698881;61,041578;28,428198;
18/09/2020 14:46:58,320;37,899127;-24,393742;33,023418;30,808471;61,452986;25,75032;61,29879;28,428198;
18/09/2020 14:46:59,320;37,898664;-24,397224;33,039124;30,835711;61,3501;25,647442;61,29879;28,479644;
18/09/2020 14:47:00,320;37,899898;-24,401312;33,045592;30,8491;61,298657;25,647442;61,247347;28,325306;
18/09/2020 14:47:01,320;37,898664;-24,391773;33,051751;30,863721;61,298657;25,698881;61,247347;28,428198;
18/09/2020 14:47:02,320;37,898819;-24,390108;33,058681;30,876341;61,298657;25,647442;61,195905;28,479644;
18/09/2020 14:47:03,320;37,899281;-24,389956;33,06869;30,900042;61,401543;25,698881;61,29879;28,479644;
18/09/2020 14:47:04,320;37,898819;-24,391016;33,074696;30,912662;61,607316;25,647442;61,144463;28,479644;
18/09/2020 14:47:05,320;37,898819;-24,395861;33,075619;30,923897;61,3501;25,544564;61,401674;28,479644;
18/09/2020 14:47:06,321;37,898973;-24,413122;33,081163;30,934054;61,298657;25,647442;61,453117;28,582537;
18/09/2020 14:47:07,320;37,89851;-24,405703;33,089787;30,954216;61,144327;25,596003;61,29879;28,531091;
18/09/2020 14:47:08,320;37,899435;-24,40858;33,09225;30,961142;61,19577;25,596003;61,350232;28,531091;
18/09/2020 14:47:09,320;37,897893;-24,413274;33,096254;30,970684;61,298657;25,596003;61,195905;28,531091;
18/09/2020 14:47:10,320;37,898973;-24,407672;33,102106;30,98038;61,3501;25,698881;61,29879;28,582537;
18/09/2020 14:47:11,320;37,897893;-24,409791;33,106109;30,989768;61,452986;25,698881;61,195905;28,633983;
