Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:50:33,071;14:50:33;0,98;34,883165;-97,337023;25,447517;23,303223;74,93111;21,58376;49,004078;21,27719;
18/08/2020 14:50:34,070;14:50:34;1,00;34,883473;-97,336282;25,473175;23,335009;74,982553;21,429443;49,261289;21,27719;
18/08/2020 14:50:35,069;14:50:35;1,02;34,882395;-97,341322;25,495914;23,369713;74,982553;21,635199;49,364174;21,328637;
18/08/2020 14:50:36,070;14:50:36;1,03;34,882086;-97,345473;25,520958;23,4015;75,033997;21,532321;49,415616;21,27719;
18/08/2020 14:50:37,070;14:50:37;1,05;34,878697;-97,350365;25,570738;23,466763;74,982553;21,532321;49,467058;21,328637;
18/08/2020 14:50:38,070;14:50:38;1,07;34,878235;-97,34992;25,594092;23,497015;75,033997;21,532321;49,621385;21,380083;
18/08/2020 14:50:39,071;14:50:39;1,08;34,87731;-97,358666;25,618676;23,5308;74,982553;21,480882;49,827155;21,328637;
18/08/2020 14:50:40,071;14:50:40;1,10;34,875307;-97,358666;25,642645;23,562281;74,93111;21,532321;49,878597;21,380083;
18/08/2020 14:50:41,070;14:50:41;1,12;34,874229;-97,364151;25,691352;23,628929;75,033997;21,532321;50,187251;21,380083;
18/08/2020 14:50:42,069;14:50:42;1,13;34,87315;-97,365634;25,716858;23,662101;75,033997;21,480882;50,187251;21,380083;
18/08/2020 14:50:43,069;14:50:43;1,15;34,872688;-97,37349;25,740059;23,698804;74,93111;21,635199;50,341578;21,380083;
18/08/2020 14:50:44,070;14:50:44;1,17;34,871455;-97,371563;25,765105;23,739041;74,93111;21,378004;50,495905;21,380083;
18/08/2020 14:50:45,070;14:50:45;1,18;34,871147;-97,377938;25,790765;23,781735;75,08544;21,58376;50,598789;21,482975;
18/08/2020 14:50:46,070;14:50:46;1,20;34,869761;-97,374232;25,844084;23,874497;74,982553;21,58376;50,753116;21,585867;
18/08/2020 14:50:47,071;14:50:47;1,22;34,867295;-97,384905;25,871896;23,922875;74,982553;21,532321;50,856001;21,534421;
18/08/2020 14:50:48,070;14:50:48;1,23;34,868836;-97,384312;25,900016;23,970179;75,08544;21,532321;51,010328;21,534421;
18/08/2020 14:50:49,071;14:50:49;1,25;34,86822;-97,38446;25,929979;24,013337;75,033997;21,532321;51,318982;21,637313;
18/08/2020 14:50:50,070;14:50:50;1,27;34,867295;-97,39039;25,986988;24,105491;74,93111;21,480882;51,267539;21,688759;
18/08/2020 14:50:51,070;14:50:51;1,28;34,866987;-97,39202;26,016953;24,148497;75,08544;21,480882;51,421866;21,688759;
18/08/2020 14:50:52,071;14:50:52;1,30;34,865909;-97,389204;26,045996;24,190889;74,982553;21,532321;51,781962;21,740205;
18/08/2020 14:50:53,071;14:50:53;1,32;34,865447;-97,39202;26,073041;24,234357;74,93111;21,480882;51,833405;21,740205;
18/08/2020 14:50:54,070;14:50:54;1,33;34,866217;-97,39795;26,130821;24,318222;74,93111;21,532321;51,936289;21,791651;
18/08/2020 14:50:55,071;14:50:55;1,35;34,866679;-97,402545;26,159097;24,359234;75,08544;21,58376;51,884847;21,740205;
18/08/2020 14:50:56,070;14:50:56;1,37;34,865909;-97,406992;26,186758;24,403318;74,93111;21,58376;52,090616;21,791651;
18/08/2020 14:50:57,070;14:50:57;1,38;34,865755;-97,412922;26,213497;24,445407;75,136883;21,480882;52,142058;21,894544;
18/08/2020 14:50:58,070;14:50:58;1,40;34,866217;-97,41648;26,2659;24,529431;75,188326;21,532321;52,142058;21,791651;
18/08/2020 14:50:59,070;14:50:59;1,42;34,867141;-97,416628;26,291411;24,568909;75,188326;21,532321;52,296385;21,843098;
18/08/2020 14:51:00,070;14:51:00;1,43;34,86822;-97,423002;26,321071;24,610231;75,136883;21,480882;52,296385;21,894544;
18/08/2020 14:51:01,070;14:51:01;1,45;34,868374;-97,410254;26,347196;24,647867;75,08544;21,480882;52,39927;21,94599;
18/08/2020 14:51:02,070;14:51:02;1,47;34,866525;-97,417221;26,369787;24,685657;75,136883;21,480882;52,502155;21,94599;
18/08/2020 14:51:03,070;14:51:03;1,48;34,866987;-97,424188;26,420656;24,759395;75,08544;21,635199;52,605039;22,100328;
18/08/2020 14:51:04,071;14:51:04;1,50;34,86745;-97,430562;26,446629;24,794881;75,136883;21,480882;52,707924;21,997436;
18/08/2020 14:51:05,070;14:51:05;1,52;34,866063;-97,425077;26,47045;24,832673;75,136883;21,532321;52,810809;22,048882;
18/08/2020 14:51:06,070;14:51:06;1,53;34,867295;-97,43412;26,495962;24,870311;75,08544;21,532321;52,913693;22,100328;
18/08/2020 14:51:07,070;14:51:07;1,55;34,865909;-97,433972;26,543913;24,945589;75,136883;21,480882;52,913693;22,151774;
18/08/2020 14:51:08,070;14:51:08;1,57;34,865909;-97,438567;26,567582;24,982614;75,188326;21,429443;52,862251;22,100328;
18/08/2020 14:51:09,071;14:51:09;1,58;34,866371;-97,436936;26,590943;25,015184;75,291213;21,223687;52,913693;22,151774;
18/08/2020 14:51:10,071;14:51:10;1,60;34,865755;-97,444941;26,615841;25,048677;75,08544;21,58376;53,016578;22,151774;
18/08/2020 14:51:11,071;14:51:11;1,62;34,86483;-97,443162;26,659643;25,110899;75,136883;21,429443;52,965135;22,151774;
18/08/2020 14:51:12,069;14:51:12;1,63;34,863752;-97,449536;26,683313;25,142856;75,188326;21,532321;53,016578;22,151774;
18/08/2020 14:51:13,070;14:51:13;1,65;34,865293;-97,44924;26,704369;25,169897;75,239769;21,532321;52,965135;22,254666;
18/08/2020 14:51:14,070;14:51:14;1,67;34,865293;-97,452205;26,726501;25,200471;75,136883;21,480882;52,965135;22,254666;
18/08/2020 14:51:15,071;14:51:15;1,68;34,866525;-97,455762;26,770613;25,256705;75,188326;21,532321;53,016578;22,306112;
18/08/2020 14:51:16,071;14:51:16;1,70;34,86483;-97,458727;26,789211;25,285436;75,136883;21,58376;52,913693;22,306112;
18/08/2020 14:51:17,070;14:51:17;1,72;34,864984;-97,46184;26,810575;25,315244;75,136883;21,532321;52,965135;22,357559;
18/08/2020 14:51:18,071;14:51:18;1,73;34,864984;-97,467176;26,833631;25,351658;75,08544;21,480882;53,016578;22,306112;
