time;sensor_PT100_1;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity;ensaio;sensor_PT100_2
1200.0;37.96;34.27;32.47;59.96;26.11;74.06;31.41;12.48;10;-24.41
1800.1;38.09;34.65;32.93;60.27;26.68;75.6;31.93;11.99;10;-24.31
2400.5;38.25;35.57;33.93;52.66;27.29;72.67;32.65;11.36;10;-24.2
3000.5;38.55;37.01;35.09;49.57;28.07;67.73;33.47;10.25;10;-23.95
3600.5;38.57;38.67;36.42;46.59;28.79;61.35;34.81;9.77;10;-23.99
4020.5;38.65;39.62;37.03;45.15;29.15;57.85;35.48;7.56;10;-23.95
600.0;38.58;31.21;30.41;47.92;27.19;63.77;31.05;9.56;11;-14.86
1200.0;38.59;32.0;31.44;48.9;27.6;70.61;31.36;12.39;11;-14.83
1800.0;38.52;32.51;32.06;48.28;28.07;72.98;31.77;12.09;11;-14.88
2400.0;38.58;33.15;33.06;46.43;28.73;70.82;32.49;11.4;11;-14.8
3000.0;38.48;34.31;34.52;45.04;29.25;65.93;33.62;9.94;11;-14.87
3600.0;38.49;35.06;35.47;44.43;29.76;61.66;34.7;9.35;11;-14.89
4020.5;38.42;35.36;35.65;43.45;30.02;58.26;35.32;7.5;11;-14.95
1800.0;39.55;32.23;32.24;69.48;24.88;70.1;30.28;12.38;12;17.52
2400.0;39.36;32.53;32.67;67.37;25.08;74.16;31.46;11.87;12;17.2
3000.0;39.44;33.2;33.39;66.75;25.49;76.32;32.18;10.78;12;17.26
3600.0;39.43;34.63;34.61;65.93;26.06;75.03;32.96;10.17;12;17.23
4020.3;39.15;35.24;35.19;64.03;26.32;72.26;33.52;7.91;12;17.1
