time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:13:24,314;70,00;42,780119;20,456461;27,722151;27,021467;53,736503;24,155711;53,222347;24,724079
15:13:25,314;71,00;42,782281;20,457841;27,753668;27,051597;53,942276;24,258589;53,170905;24,775525
15:13:26,314;72,00;42,784135;20,459529;27,818395;27,108323;53,890833;24,258589;53,222347;24,98131
15:13:27,313;73,00;42,785061;20,460296;27,850683;27,136455;53,787947;24,361467;53,170905;24,878417
15:13:28,314;74,00;42,784289;20,461217;27,884969;27,161667;53,68506;24,258589;53,016578;24,929864
15:13:29,314;75,00;42,785988;20,461064;27,919102;27,188263;53,736503;24,310028;52,965135;24,929864
15:13:30,314;76,00;42,788613;20,463979;27,984755;27,236843;53,736503;24,361467;52,862251;24,826971
15:13:31,314;77,00;42,78815;20,464132;28,016582;27,264823;53,890833;24,20715;52,759366;24,826971
15:13:32,314;78,00;42,789849;20,464899;28,049333;27,290804;53,582174;24,258589;52,810809;24,98131
15:13:33,313;79,00;42,791084;20,465973;28,080238;27,320783;53,68506;24,258589;52,656482;25,032756
15:13:34,314;80,00;42,792938;20,466894;28,111144;27,350301;53,633617;24,258589;52,656482;25,032756
15:13:35,313;81,00;42,798961;20,467968;28,17388;27,408415;53,787947;24,361467;52,759366;25,135648
15:13:36,314;82,00;42,797108;20,469349;28,206785;27,43901;53,633617;24,258589;52,605039;25,135648
15:13:37,314;83,00;42,799424;20,470116;28,237077;27,468376;53,736503;24,310028;52,656482;25,084202
15:13:38,313;84,00;42,798189;20,47119;28,271521;27,49605;53,530731;24,258589;52,502155;25,187094
15:13:39,314;85,00;42,801741;20,470423;28,334413;27,548017;53,530731;24,20715;52,502155;25,135648
15:13:40,314;86,00;42,800196;20,471957;28,364706;27,573078;53,530731;24,258589;52,502155;25,135648
15:13:41,315;87,00;42,801741;20,47165;28,396076;27,59814;53,530731;24,20715;52,244943;25,187094
15:13:42,314;88,00;42,802358;20,472878;28,425447;27,620741;53,582174;24,310028;52,296385;25,084202
15:13:43,314;89,00;42,800351;20,472878;28,483267;27,667482;53,376401;24,361467;52,039174;25,135648
